# t0 per a inc rp u1 u2 c0 c1
2.459771335570767988e+06 4.060532880977282488e+00 1.112620474143018789e+01 8.741863700695253669e+01 1.486098222632226962e-01 4.681365955204803697e-01 -4.437788106399719879e-01 9.998929210283337143e-01 -5.561772145736312324e-03
2.459771335686636157e+06 4.063429733373308927e+00 1.129872062172291969e+01 8.758491316303775420e+01 1.492631375791639015e-01 2.440563800083010437e-01 -1.484483781425512960e-01 1.000083788037313237e+00 -3.936714441800179785e-03
2.459771335547240917e+06 4.051009805149485388e+00 1.140970451964157029e+01 8.788809346561724567e+01 1.454861728314022773e-01 -2.255553381823385828e-02 4.442855973849648699e-01 9.999088221452840930e-01 -5.025247237779581662e-03
2.459771335625398904e+06 4.046282768802690555e+00 1.132889502111786229e+01 8.755930554458802817e+01 1.506176140464626501e-01 6.185465958025291311e-01 -7.750608554520151960e-01 1.000107297892562475e+00 -4.403503734322890273e-03
2.459771335986763239e+06 4.060163187435795962e+00 1.169413889651009342e+01 8.829144176290132862e+01 1.434487662767834348e-01 -1.569942262952120360e-01 7.720329265641108218e-01 9.999534535814129654e-01 -6.105742476503685408e-03
2.459771335868699942e+06 4.060177748685259935e+00 1.136862029741127955e+01 8.773772439737010131e+01 1.465396189010423622e-01 2.631267539356310636e-01 -5.915536755652184286e-02 9.998742197354983929e-01 -4.260268625974665546e-03
2.459771335277660750e+06 4.048923917126936445e+00 1.151817271961280653e+01 8.794572817487637906e+01 1.457004338146659084e-01 -8.715907464276537175e-02 5.198586894117379620e-01 9.998748534255780251e-01 -4.936991379163517372e-03
2.459771335760406684e+06 4.060634770710461972e+00 1.142584118774409951e+01 8.790091815253293817e+01 1.448524363231473988e-01 -3.141002819617221831e-01 8.435558954070392357e-01 9.999447113223681738e-01 -4.195652462947364707e-03
2.459771336296541151e+06 4.045978312602460214e+00 1.143076705907491331e+01 8.771294972621112152e+01 1.480239488953148663e-01 3.204449647557637282e-01 -2.395375719473904486e-01 9.997109086372518716e-01 -5.419536696297052973e-03
2.459771335526665207e+06 4.046255946239741164e+00 1.141421550461251222e+01 8.793884182173599129e+01 1.431592145826064699e-01 -7.302029013763650100e-02 6.838969354387445243e-01 9.998759441317874863e-01 -6.114489044044300187e-03
2.459771335513814818e+06 4.052351505474067750e+00 1.102779068656823114e+01 8.753831460654309637e+01 1.446352356887954660e-01 -2.745724958704933161e-01 8.023969135013079290e-01 9.997566648941368372e-01 -5.389557838142173402e-03
2.459771335692578461e+06 4.055663629453375663e+00 1.152412671142507428e+01 8.790290444494372935e+01 1.453902231874211193e-01 2.353287222765731990e-01 1.300061144085074005e-01 9.999534558089318015e-01 -3.581849600455142869e-03
2.459771335754034109e+06 4.062438237198452207e+00 1.174268485893662728e+01 8.815207128008117365e+01 1.456354361291535005e-01 -1.806112090730186137e-01 6.522994891139997087e-01 9.999257891162645073e-01 -4.533768876215918051e-03
2.459771335628359579e+06 4.047825917061453893e+00 1.164578848656643650e+01 8.819591836169017540e+01 1.443067483239127979e-01 -1.499635679179975589e-01 6.927330872849203347e-01 9.999597891721598852e-01 -4.571466953043518827e-03
2.459771335591061506e+06 4.051091264734573372e+00 1.153239404242654409e+01 8.807174935303349628e+01 1.435739459665800466e-01 -1.743760644225004763e-01 7.844408680459240557e-01 9.999518050803491986e-01 -6.285772381921087872e-03
2.459771335721627809e+06 4.051220215761778931e+00 1.145172810356455706e+01 8.772863937110879817e+01 1.480051360655345039e-01 6.778257189590919385e-02 1.785268971627951284e-02 9.999232766684758023e-01 -4.702623333506554364e-03
2.459771335529231001e+06 4.051362488164400588e+00 1.159240707133225179e+01 8.821820259129248143e+01 1.445487936528800366e-01 -1.482786691674966573e-01 7.391948132973500396e-01 9.999447806491250645e-01 -4.175347552599717113e-03
2.459771335539339110e+06 4.059268737519151848e+00 1.175014635757492698e+01 8.801581170273765053e+01 1.480012010002634271e-01 4.071874926491904634e-01 -3.870163805439723603e-01 9.999693913981624327e-01 -5.635269255482728765e-03
2.459771335273068864e+06 4.050417376593824947e+00 1.102067588725187264e+01 8.746591638326718510e+01 1.457956669732412835e-01 -8.581695794107657704e-02 4.903180440138973362e-01 9.999932427044134764e-01 -4.329285150761775884e-03
2.459771335927885957e+06 4.051364270462441297e+00 1.126806010961557369e+01 8.775984864030193933e+01 1.443846045682162238e-01 -1.956083602901252938e-01 7.940170233268550870e-01 9.997982383350497715e-01 -4.375385239262712805e-03
2.459771335809403099e+06 4.046019013124888986e+00 1.168862055580387072e+01 8.818558272927282360e+01 1.452769928415650613e-01 -3.422231357778197647e-01 9.158524890683960029e-01 1.000038573744489900e+00 -5.093425159597331393e-03
2.459771335728966165e+06 4.060333832271608934e+00 1.170635987150923363e+01 8.831839688922771359e+01 1.443394288992381480e-01 8.131697191704145844e-03 5.151801955939442346e-01 1.000024668805935102e+00 -4.600419590148680481e-03
2.459771335542515386e+06 4.053364642728638501e+00 1.147852162031763967e+01 8.775693179494335538e+01 1.473717384056050517e-01 3.955029243202717315e-01 -3.770694352330916654e-01 9.998139871696164471e-01 -6.161526737509742148e-03
2.459771335579719860e+06 4.048165095690674065e+00 1.082903503046766858e+01 8.734020270982793477e+01 1.455333048188967582e-01 -1.118199635788054008e-01 6.126769194856123146e-01 9.998979481716817608e-01 -4.435036222450543068e-03
2.459771335428833961e+06 4.050726533656829886e+00 1.138804126625832680e+01 8.777915104333172280e+01 1.467730355005931742e-01 1.442506359257174908e-01 1.328556733163073211e-01 1.000016041865488869e+00 -4.807220978122881370e-03
2.459771335545213427e+06 4.060291403179626890e+00 1.188500262629323423e+01 8.837437319111926115e+01 1.449331099341532036e-01 2.625287940554949517e-01 1.559166228583650504e-01 9.999565648617143587e-01 -4.628007526404217045e-03
2.459771335534616839e+06 4.064797126745871125e+00 1.171118702672515610e+01 8.798533308679486709e+01 1.469161415141470028e-01 3.330368404014703021e-01 -1.362739964342995491e-01 9.999149983237111128e-01 -5.134343416976642864e-03
