wavelength_um transit_depth
2.449213161659513638e+00 2.682578612215666750e-02
2.455793991416309385e+00 2.611096223583112691e-02
2.462374821173104689e+00 2.721376890231507611e-02
2.468955650929899992e+00 2.613528279631693874e-02
2.475536480686695739e+00 2.923065967530524140e-02
2.482117310443491043e+00 2.958662991267274958e-02
2.488698140200286346e+00 2.760677765178169013e-02
2.495278969957081650e+00 2.603116500041137427e-02
2.501859799713877397e+00 2.570273190309662475e-02
2.508440629470672700e+00 3.155282885493826406e-02
2.515021459227468004e+00 2.677846787125084949e-02
2.521602288984263307e+00 2.722736981218053243e-02
2.528183118741059054e+00 2.986331273629682509e-02
2.534763948497854358e+00 2.641178830376077549e-02
2.541344778254649661e+00 2.604728597085731109e-02
2.547925608011445409e+00 2.680457790635674617e-02
2.554506437768240712e+00 2.684174610119763674e-02
2.561087267525036015e+00 2.917106141766373506e-02
2.567668097281831319e+00 2.680290205054335420e-02
2.574248927038627066e+00 2.707891909811035308e-02
2.580829756795422369e+00 2.632312432690659190e-02
2.587410586552217673e+00 2.834169225531339362e-02
2.593991416309012976e+00 2.907474608498631166e-02
2.600572246065808724e+00 2.769509880425342213e-02
2.607153075822604027e+00 2.576605420618793482e-02
2.613733905579399330e+00 2.835470080941812632e-02
2.620314735336195078e+00 2.684464641003514451e-02
2.626895565092990381e+00 2.648940633735047401e-02
2.633476394849785684e+00 2.834874165545915939e-02
2.640057224606581432e+00 3.080721137136107485e-02
2.646638054363376735e+00 2.652377466293953656e-02
2.653218884120172039e+00 2.985949667110257555e-02
2.659799713876967342e+00 2.676100794963545346e-02
2.666380543633763089e+00 2.933665448041870502e-02
2.672961373390558393e+00 2.826676183266561837e-02
2.679542203147353696e+00 2.732125273222302253e-02
2.686123032904148999e+00 3.107313735209850034e-02
2.692703862660944747e+00 2.782103815314362905e-02
2.699284692417740050e+00 2.788991529791799359e-02
2.705865522174535354e+00 2.925750080908481876e-02
2.712446351931331101e+00 2.851646183028874043e-02
2.719027181688126404e+00 2.754451506095206489e-02
2.725608011444921708e+00 2.809525170756301676e-02
2.732188841201717011e+00 3.088275474001710152e-02
2.738769670958512759e+00 2.849073240011534142e-02
2.745350500715308062e+00 2.663579915409277146e-02
2.751931330472103365e+00 2.831441583134188672e-02
2.758512160228898669e+00 2.816473443672608268e-02
2.765092989985694416e+00 2.787763846273385790e-02
2.771673819742489719e+00 2.698169770478195395e-02
2.778254649499285023e+00 2.834702053574660735e-02
2.784835479256080326e+00 2.801172760129633579e-02
2.791416309012876074e+00 2.704605313354721888e-02
2.797997138769671377e+00 2.971119135148535262e-02
2.804577968526466680e+00 2.929416148967954950e-02
2.811158798283262428e+00 2.789756313878977156e-02
2.817739628040057731e+00 2.740524555842346194e-02
2.824320457796853034e+00 2.927782086214580914e-02
2.830901287553648338e+00 2.628933497116768200e-02
2.837482117310444085e+00 2.818236962865311446e-02
2.844062947067239389e+00 2.727353512946715727e-02
2.850643776824034692e+00 3.120396405235882978e-02
2.857224606580829995e+00 3.052384930604209318e-02
2.863805436337625743e+00 3.091612829585810990e-02
2.870386266094421046e+00 2.734810098221230126e-02
2.876967095851216349e+00 2.752592556928103174e-02
2.883547925608012097e+00 2.695805469074316965e-02
2.890128755364807400e+00 2.840359271483923823e-02
2.896709585121602704e+00 2.847127497631058574e-02
2.903290414878398007e+00 2.766788850465299113e-02
2.909871244635193754e+00 3.209792618882128384e-02
2.916452074391989058e+00 2.946572338221952608e-02
2.923032904148784361e+00 2.931699601511995185e-02
2.929613733905579664e+00 2.880353235051349992e-02
2.936194563662375412e+00 2.756511844148081328e-02
2.942775393419170715e+00 2.651867887942154292e-02
2.949356223175966019e+00 2.660156097688902779e-02
2.955937052932761322e+00 3.012210130273049874e-02
2.962517882689557069e+00 2.753581995654283063e-02
2.969098712446352373e+00 2.899550950230318433e-02
2.975679542203147676e+00 2.724504583407653252e-02
2.982260371959943424e+00 2.856722348263313060e-02
2.988841201716738727e+00 2.708134892765014234e-02
2.995422031473534030e+00 2.760054679855334508e-02
3.002002861230329334e+00 2.807720837803513031e-02
3.008583690987125081e+00 2.802384412616550080e-02
3.015164520743920384e+00 2.811662042916555915e-02
3.021745350500715688e+00 2.936286521318744527e-02
3.028326180257510991e+00 2.662161777476231006e-02
3.034907010014306739e+00 2.711545497052941442e-02
3.041487839771102042e+00 2.721287275376111509e-02
3.048068669527897345e+00 2.961437408539751431e-02
3.054649499284693093e+00 2.678349330399381820e-02
3.061230329041488396e+00 2.690331574741710099e-02
3.067811158798283699e+00 2.604907489102588347e-02
3.074391988555079003e+00 2.684115961753741342e-02
3.080972818311874750e+00 2.730530621247583695e-02
3.087553648068670054e+00 2.762696490854745293e-02
3.094134477825465357e+00 2.779281875828882448e-02
3.100715307582260660e+00 2.789212009432944991e-02
3.107296137339056408e+00 2.644943072477469459e-02
3.113876967095851711e+00 2.799701202722875912e-02
3.120457796852647014e+00 2.889947463318668155e-02
3.127038626609442762e+00 2.608087534640548058e-02
3.133619456366238065e+00 2.666010751901086093e-02
3.140200286123033369e+00 2.685549618824639370e-02
3.146781115879828672e+00 2.752008931382855447e-02
