# t0 per a inc rp u1 u2 c0 c1
2.459771335978062358e+06 4.046740345979067399e+00 1.106027135861468302e+01 8.750414312829167329e+01 1.450385250989600916e-01 -4.089124936769962249e-01 8.755225283486685051e-01 9.997896194522799540e-01 -5.538464260805085748e-03
2.459771335744373966e+06 4.050996622796008140e+00 1.130420513023165618e+01 8.785894276498115119e+01 1.440241930510925139e-01 -2.088174177181083557e-01 7.960577441254177433e-01 9.999539949134886863e-01 -5.298029915963387709e-03
2.459771335683545563e+06 4.054565526890743676e+00 1.177853162208796434e+01 8.830079627558916400e+01 1.467868412171876025e-01 -2.201432253658197891e-01 6.188466268482458732e-01 1.000117538737941292e+00 -5.071811044041926210e-03
2.459771335703548510e+06 4.052715131911843294e+00 1.157857400039956275e+01 8.810737963334797485e+01 1.451185138682004050e-01 1.866905384326736361e-02 5.362936014436088250e-01 9.999520557791682362e-01 -5.146343213553810324e-03
2.459771335331324954e+06 4.053840915144981238e+00 1.114756939130584534e+01 8.764235988410938205e+01 1.449478264686906714e-01 -1.193423559467158002e-01 6.250488769802586830e-01 9.999183643150415524e-01 -5.660364730671144443e-03
2.459771336035159882e+06 4.060700831758138563e+00 1.126321970221549940e+01 8.790332551090517654e+01 1.431308230085427957e-01 -1.580440434956414397e-01 8.672553921179670944e-01 9.999515347316442204e-01 -5.910568456122058251e-03
2.459771335616942495e+06 4.053662421108523262e+00 1.124517964572121187e+01 8.752449921913235187e+01 1.465631205204905030e-01 -6.861773543895310912e-02 2.911739823099035451e-01 9.998674020743159030e-01 -5.518952587211900344e-03
2.459771335777454078e+06 4.046442393686295880e+00 1.069406230201091823e+01 8.697662668730457369e+01 1.501673729271993107e-01 6.824743853350556666e-01 -7.238175050972571745e-01 9.999453970872462794e-01 -4.500068355683364135e-03
2.459771335772886872e+06 4.059527866764493176e+00 1.177758526437669850e+01 8.808742133350544634e+01 1.471655567986233648e-01 2.608920826229486067e-01 -1.386614817726837534e-01 9.998639046785213758e-01 -5.935979150439925356e-03
2.459771335683828685e+06 4.056164540690833320e+00 1.105631188013059507e+01 8.742479119156702438e+01 1.476498263716562176e-01 2.668933272038808147e-01 -3.306492591137147330e-02 9.999090173607071419e-01 -5.395266625596807988e-03
2.459771335394621827e+06 4.061372948831684759e+00 1.150317017627000205e+01 8.781968292766467243e+01 1.466336763567767654e-01 -5.798684184732127989e-02 2.842030683300625915e-01 9.999306376204906144e-01 -5.901000276128482921e-03
2.459771335602579173e+06 4.059685223916388530e+00 1.140968937084668156e+01 8.773700767165992431e+01 1.471750641524091630e-01 4.026564531978289452e-01 -1.985168759935516114e-01 1.000017201013644996e+00 -5.606518727235026978e-03
2.459771335724108387e+06 4.049254715187686315e+00 1.087168208398815139e+01 8.725083553814731374e+01 1.460521801879815507e-01 -1.456824706813600045e-01 4.351444674143349900e-01 9.998275867665147310e-01 -6.099538253859605047e-03
2.459771335555029102e+06 4.050164441114698199e+00 1.129400805755108550e+01 8.749317252183313087e+01 1.493728760007106693e-01 5.635118156724737704e-01 -6.989601011956014798e-01 9.999579601369648074e-01 -5.198322572348489795e-03
2.459771335596662946e+06 4.060326073269009406e+00 1.156273844136187279e+01 8.794545819810262799e+01 1.462392966751655810e-01 2.198530142564316670e-01 5.575786136892212086e-03 9.999285841064482483e-01 -4.676151418690695748e-03
